你,nǐ,pr,you
好,hǎo,adj,fine; good; nice; O.K.; it's settled
请,qǐng,v,please (polite form of request); to treat or to invite (somebody)
问,wèn,v,to ask (a question)
贵,guì,adj,honorable; expensive
姓,xìng,v/n,(one's) surname is...; to be surnamed; surname
我,wǒ,pr,I; me
呢,ne,qp,(question particle)
小姐,xiǎojiě,n,Miss; young lady
叫,jiào,v,to be called; to call
什么,shénme,qpr,what
名字,míngzi,n,name
先生,xiānsheng,n,Mr.; husband; teacher
李友,Lǐ Yǒu,pn,(a personal name)
李,lǐ,pn,(a surname); plum
王朋,Wáng Péng,pn,(a personal name)
王,wáng,pn,(a surname); king
是,shì,v,to be
老师,lǎoshī,n,teacher
吗,ma,qp,(question particle)
不,bù,adv,not; no
学生,xuésheng,n,student
也,yě,adv,too; also
人,rén,n,people; person
中国,Zhōngguó,pn,China
北京,Běijīng,pn,Beijing
美国,Měiguó,pn,America
纽约,Niǔyuē,pn,New York